FIRST ORDER ACCURATE FIRST DERIVATIVE
N = 50
x,exact,numerical,error
6.54508,0.00101605,0.00106812,5.20669e-05
6.84062,0.000341792,0.000383605,4.18123e-05
7.1289,-6.83317e-05,-3.78189e-05,3.05128e-05
7.40877,-0.000285913,-0.000265419,2.04938e-05
7.67913,-0.000374891,-0.00036223,1.26614e-05
7.93893,-0.000385557,-0.000378473,7.08399e-06
8.18712,-0.000353897,-0.000350473,3.42428e-06
8.42274,-0.000303595,-0.00030238,1.21534e-06
8.64484,-0.000248944,-0.000248933,1.0604e-08
8.85257,-0.000197674,-0.000198226,5.51906e-07
9.04508,-0.000153291,-0.000154027,7.36061e-07
9.22164,-0.000116791,-0.00011751,7.18859e-07
9.38153,-8.783e-05,-8.84404e-05,6.10367e-07
9.52414,-6.54587e-05,-6.59325e-05,4.73778e-07
9.64888,-4.85512e-05,-4.88932e-05,3.41927e-07
9.75528,-3.6031e-05,-3.62604e-05,2.29401e-07
9.84292,-2.69748e-05,-2.71155e-05,1.40719e-07
9.91144,-2.06465e-05,-2.0722e-05,7.54868e-08
9.96057,-1.64977e-05,-1.65291e-05,3.14469e-08
9.99013,-1.41531e-05,-1.4103e-05,5.00881e-08
10,-1.33953e-05,-1.3387e-05,8.22055e-09

SECOND ORDER ACCURATE FIRST DERIVATIVE
N = 100
x,exact,numerical,error
0,1,0.999992,8.11398e-06
0.0024672,0.995072,0.995078,6.08496e-06
0.00986636,0.980365,0.980395,3.03913e-05
0.0221902,0.956112,0.956183,7.0766e-05
0.0394265,0.922701,0.922828,0.000126948
0.0615583,0.88067,0.880869,0.000198463
0.0885637,0.830706,0.830991,0.000284533
0.120416,0.773634,0.774018,0.000383981
0.157084,0.710412,0.710907,0.000495138
0.198532,0.642113,0.642728,0.000615784
0.244717,0.56991,0.570653,0.000743116
0.295596,0.495055,0.495929,0.00087376
0.351118,0.41885,0.419854,0.00100384
0.411227,0.342618,0.343747,0.00112908
0.475865,0.26767,0.268915,0.00124501
0.544967,0.19527,0.196618,0.00134712
0.618467,0.126601,0.128032,0.00143113
0.69629,0.0627283,0.0642215,0.00149322
0.77836,0.00456994,0.00610023,0.00153029
0.864597,-0.0471293,-0.0455891,0.00154012
0.954915,-0.0918188,-0.0902972,0.00152159
1.04922,-0.129155,-0.12768,0.00147471
1.14743,-0.159006,-0.157605,0.00140074
1.24944,-0.181447,-0.180145,0.00130205
1.35516,-0.196749,-0.195567,0.00118208
1.46447,-0.205358,-0.204313,0.0010451
1.57726,-0.207871,-0.206975,0.000896009
1.69344,-0.205001,-0.204261,0.000740032
1.81288,-0.197544,-0.196962,0.000582465
1.93546,-0.186348,-0.18592,0.000428386
2.06107,-0.172269,-0.171987,0.000282401
2.18958,-0.156148,-0.155999,0.000148444
2.32087,-0.138773,-0.138743,2.96179e-05
2.45479,-0.120864,-0.120936,7.18939e-05
2.59123,-0.10305,-0.103205,0.000154854
2.73005,-0.0858591,-0.086078,0.000218939
2.8711,-0.0697105,-0.0699752,0.000264658
3.01426,-0.0549176,-0.0552108,0.000293224
3.15938,-0.0416905,-0.0419969,0.00030641
3.30631,-0.0301452,-0.0304516,0.000306374
3.45492,-0.0203153,-0.0206108,0.000295502
3.60504,-0.0121652,-0.0124414,0.00027625
3.75655,-0.00560445,-0.00585546,0.000251007
3.90928,-0.000502178,-0.000724165,0.000221988
4.06309,0.0032996,0.00310845,0.000191151
4.21783,0.00597373,0.00581358,0.000160147
4.37333,0.00769754,0.00756724,0.000130294
4.52946,0.00864434,0.00854177,0.000102576
4.68605,0.00897695,0.00889928,7.76646e-05
4.84295,0.00884306,0.00878711,5.59486e-05
5,0.00837248,0.0083349,3.75786e-05
5.15705,0.00767575,0.00765324,2.25129e-05
5.31395,0.00684407,0.00683351,1.05644e-05
5.47054,0.00595015,0.0059487,1.44576e-06
5.62667,0.00504973,0.00505492,5.19141e-06
5.78217,0.00418356,0.00419328,9.72305e-06
5.93691,0.00337955,0.00339207,1.25259e-05
6.09072,0.00265501,0.00266897,1.39579e-05
6.24345,0.0020188,0.00203314,1.43444e-05
6.39496,0.00147328,0.00148725,1.39701e-05
6.54508,0.00101605,0.00102913,1.30756e-05
6.69369,0.00064146,0.000653318,1.18573e-05
6.84062,0.000341792,0.000352262,1.04698e-05
6.98574,0.000108246,0.000117276,9.02989e-06
7.1289,-6.83317e-05,-6.07098e-05,7.62185e-06
7.26995,-0.00019691,-0.000190608,6.30266e-06
7.40877,-0.000285913,-0.000280806,5.10731e-06
7.54521,-0.000342988,-0.000338935,4.05378e-06
7.67913,-0.000374891,-0.000371744,3.14735e-06
7.81042,-0.000387445,-0.00038506,2.38433e-06
7.93893,-0.000385557,-0.000383802,1.7551e-06
8.06454,-0.000373282,-0.000372036,1.24651e-06
8.18712,-0.000353897,-0.000353053,8.43694e-07
8.30656,-0.000329998,-0.000329466,5.31424e-07
8.42274,-0.000303595,-0.0003033,2.94991e-07
8.53553,-0.000276206,-0.000276086,1.20807e-07
8.64484,-0.000248944,-0.000248947,3.27056e-09
8.75056,-0.000222591,-0.000222679,8.77998e-08
8.85257,-0.000197674,-0.000197816,1.41746e-07
8.95078,-0.000174517,-0.000174689,1.72563e-07
9.04508,-0.000153291,-0.000153477,1.8633e-07
9.1354,-0.000134056,-0.000134244,1.87908e-07
9.22164,-0.000116791,-0.000116972,1.81115e-07
9.30371,-0.00010142,-0.000101588,1.68893e-07
9.38153,-8.783e-05,-8.79835e-05,1.53458e-07
9.45503,-7.58903e-05,-7.60267e-05,1.36445e-07
9.52414,-6.54587e-05,-6.55778e-05,1.19023e-07
9.58877,-5.63921e-05,-5.64941e-05,1.02003e-07
9.64888,-4.85512e-05,-4.86372e-05,8.59199e-08
9.7044,-4.18047e-05,-4.18758e-05,7.11028e-08
9.75528,-3.6031e-05,-3.60888e-05,5.77309e-08
9.80147,-3.11204e-05,-3.11663e-05,4.58776e-08
9.84292,-2.69748e-05,-2.70103e-05,3.55447e-08
9.87958,-2.35082e-05,-2.35349e-05,2.66884e-08
9.91144,-2.06465e-05,-2.06658e-05,1.9239e-08
9.93844,-1.8327e-05,-1.83401e-05,1.31157e-08
9.96057,-1.64977e-05,-1.65059e-05,8.23669e-09
9.97781,-1.5117e-05,-1.51215e-05,4.5274e-09
9.99013,-1.41531e-05,-1.4155e-05,1.9252e-09
9.99753,-1.35836e-05,-1.35805e-05,3.07666e-09
10,-1.33953e-05,-1.33948e-05,5.10737e-10

